lambda_micron,f_nu_mJy_z0.05_m10.0,f_nu_mJy_z0.05_m10.5,f_nu_mJy_z0.05_m11.0,f_nu_mJy_z0.1_m10.0,f_nu_mJy_z0.1_m10.5,f_nu_mJy_z0.1_m11.0,f_nu_mJy_z0.15_m10.0,f_nu_mJy_z0.15_m10.5,f_nu_mJy_z0.15_m11.0,f_nu_mJy_z0.2_m10.0,f_nu_mJy_z0.2_m10.5,f_nu_mJy_z0.2_m11.0
1.0860860860860861,1.61657710762314,5.5391543964280565,13.25032525723382,0.4893748754510131,1.2915595178719899,3.067908442013331,0.35378764036352717,0.5711964005284702,1.1150791232122563,0.3415625101245181,0.46909984304239083,0.5903516660564538
1.0903403403403404,1.6192867260586472,5.567166016548658,13.258554893485202,0.4935759190230161,1.287896775222157,3.0850514848212773,0.35683685906042684,0.577677427649818,1.1293846449048848,0.35169508757159995,0.455447373063031,0.5763736371483638
1.0945945945945947,1.6224913035615578,5.574944815445806,13.279229126885433,0.4991416353905126,1.3097715219018844,3.10457689218014,0.3509372665500532,0.5754760802214176,1.1306124163681717,0.336710240572544,0.46530360915784114,0.5740226595519293
1.0988488488488488,1.6256958810644684,5.582723614342954,13.299903360285661,0.4988597357547351,1.3177965463847179,3.1362726980536575,0.35163806831941424,0.5628318828166945,1.129051925429188,0.3339979000154153,0.4587140015812995,0.5804584650022881
1.103103103103103,1.6260902268322326,5.582268643297374,13.318377791607688,0.49168799007577635,1.3234137393703196,3.1468463750033244,0.3563414187773442,0.5846976559217024,1.1520200032722023,0.3380806992910943,0.4472806007506517,0.5766242332875261
1.1073573573573574,1.6235722871067575,5.589836554593683,13.329284075284704,0.4891709666506958,1.3254889004820558,3.1599989354010365,0.36167720076743026,0.586557238216816,1.159424926481789,0.3417893024915024,0.4437297965477667,0.5661317455086378
1.1116116116116117,1.6208888009071665,5.597404465889992,13.328649697235837,0.4903405862363357,1.337495460442066,3.1731514957987486,0.3618706082722086,0.5853470880637575,1.158348022934271,0.34804599627445243,0.46192398281655367,0.5807072173531211
1.115865865865866,1.620674905842231,5.617632051099161,13.312230451555486,0.4897790674038977,1.3457883389417886,3.189746504104278,0.3627480338397929,0.5894812570666735,1.1637287190505146,0.3499101901293591,0.45569156258985977,0.5870034732724546
1.12012012012012,1.6224094174567756,5.6376734491110785,13.323509583747676,0.49011685135860683,1.3511273912768154,3.206214261495856,0.360432599867728,0.5880824663553422,1.162720519263137,0.34833799687813627,0.4801291211420307,0.6060415244083825
1.1243743743743744,1.62414392907132,5.657714847122998,13.323724065494712,0.4913875961227837,1.3614377976635985,3.2226820188874354,0.36182679032580567,0.5903872832963946,1.1619852365350014,0.3590547472131339,0.48061434069659914,0.6021560733698441
1.1286286286286287,1.623218928978039,5.6661892398422165,13.327965175411823,0.49364619958097045,1.3673550902988696,3.24017181003816,0.3666878123083395,0.5957228159404866,1.1793127942579322,0.3593087020252168,0.48362480467661206,0.6052738603350971
1.132882882882883,1.621082662256578,5.664374257097615,13.332123993044666,0.4959127155783013,1.3709345403332667,3.25345901971001,0.3644474743842576,0.5988997743689863,1.193246849029841,0.3598035375301008,0.4866948341086169,0.6168340893131494
